location,latitude,longitude,rainfall,prev_rainfall
Alluri Sitharama Raju - Forest,17.914311576706073,82.16401088404137,0.0,0.0
Alluri Sitharama Raju - Forest,17.735808931059346,82.1803190324715,0.0,0.0
Alluri Sitharama Raju - Forest,18.141277736603858,82.77672704525929,0.0,0.0
Alluri Sitharama Raju - Forest,14.34987021441649,78.84481549572266,0.0,0.0
Alluri Sitharama Raju - Forest,18.07944444406446,82.99971088370154,0.0,0.0
Alluri Sitharama Raju - Forest,17.968481580402965,82.8969259188173,0.0,0.0
Alluri Sitharama Raju - Forest,17.93305581097681,83.27941519444158,0.0,0.0
Alluri Sitharama Raju - Forest,17.835747029447514,83.30234846032162,0.0,0.0
Alluri Sitharama Raju - Forest,17.792391121850137,83.03885031677706,0.0,0.0
Alluri Sitharama Raju - Forest,17.579802093821773,82.81218659531814,0.0,0.0
Alluri Sitharama Raju - Forest,17.392890893050772,82.58829077641494,0.0,0.0
Alluri Sitharama Raju - Forest,17.815321612633745,82.70031208349009,0.0,0.0
Alluri Sitharama Raju - Forest,17.511525216607485,82.83252131191986,0.0,0.0
Alluri Sitharama Raju - Forest,17.670395681682663,82.46360452312905,0.0,0.0
Alluri Sitharama Raju - Forest,15.177882949567175,78.92499100645803,0.0,0.0
Alluri Sitharama Raju - Forest,15.153757969867629,78.97234383273549,0.0,0.0
Alluri Sitharama Raju - Forest,15.013344400401625,78.79383599772898,0.0,0.0
Alluri Sitharama Raju - Forest,15.085448738202407,79.06148657529485,0.0,0.0
Alluri Sitharama Raju - Forest,14.71979862497606,78.90291359555675,0.0,0.0
Alluri Sitharama Raju - Forest,14.819735103959989,79.11662949933222,0.0,0.0
Alluri Sitharama Raju - Forest,14.683322780297816,78.24218761703845,0.0,0.0
Alluri Sitharama Raju - Forest,14.544546515745374,79.14016508439431,0.0,0.0
Alluri Sitharama Raju - Forest,14.63929773710155,78.29929607237904,0.0,0.0
Alluri Sitharama Raju - Forest,14.549508321628082,78.96814729046919,0.0,0.0
Alluri Sitharama Raju - Forest,14.633634743336842,79.1932128754679,0.0,0.0
Alluri Sitharama Raju - Forest,14.5631926274413,78.35564538636204,0.0,0.0
Alluri Sitharama Raju - Forest,14.459750843951651,78.05420651146291,0.0,0.0
Alluri Sitharama Raju - Forest,14.452074673489465,78.91715521531036,0.0,0.0
Alluri Sitharama Raju - Forest,14.430973586278071,79.21072349116668,0.0,0.0
Alluri Sitharama Raju - Forest,14.413235843564353,79.27546003653362,0.0,0.0
Alluri Sitharama Raju - Forest,14.33575690272652,78.96960668288108,0.0,0.0
Alluri Sitharama Raju - Forest,14.37213009668121,79.10543354324997,0.0,0.0
Alluri Sitharama Raju - Forest,14.386113072391373,79.33913005830732,0.0,0.0
Alluri Sitharama Raju - Forest,14.319220083294486,78.62243038749665,0.0,0.0
Alluri Sitharama Raju - Forest,14.37865715585832,79.25960769852236,0.0,0.0
Alluri Sitharama Raju - Forest,14.36512964612766,78.16950733593437,0.0,0.0
Alluri Sitharama Raju - Forest,14.357373090942303,78.49736216716114,0.0,0.0
Alluri Sitharama Raju - Forest,14.251711866753016,78.87099210216091,0.0,0.0
Alluri Sitharama Raju - Forest,14.29950282835602,78.38928198598747,0.0,0.0
Alluri Sitharama Raju - Forest,14.29922829285746,79.13896188914688,0.0,0.0
Alluri Sitharama Raju - Forest,14.030784976970644,79.41969269674306,0.0,0.0
Alluri Sitharama Raju - Forest,14.247087069762287,79.0276451728053,0.0,0.0
Alluri Sitharama Raju - Forest,14.11679801462221,78.96692299367372,0.0,0.0
Alluri Sitharama Raju - Forest,14.17274784569053,78.57095534454359,0.0,0.0
Alluri Sitharama Raju - Forest,14.192790552892166,79.26842149648326,0.0,0.0
Alluri Sitharama Raju - Forest,14.159651265433432,78.64627283484354,0.0,0.0
Alluri Sitharama Raju - Forest,14.055610798464892,78.60214945782411,0.0,0.0
Alluri Sitharama Raju - Forest,14.053451073419447,78.85066615515669,0.0,0.0
Alluri Sitharama Raju - Forest,13.924627126332442,79.19507671473477,0.0,0.0
Alluri Sitharama Raju - Forest,13.913248775891322,79.06948824412524,0.0,0.0
Alluri Sitharama Raju - Forest,13.96435700307626,78.62915619877667,0.0,0.0
Alluri Sitharama Raju - Forest,13.937264870496415,79.31107467916802,0.0,0.0
Alluri Sitharama Raju - Forest,13.920602653407803,78.61382166952555,0.0,0.0
Alluri Sitharama Raju - Forest,13.879578939007937,78.67723342070953,0.0,0.0
Alluri Sitharama Raju - Forest,15.724934613259697,78.70501300178738,0.0,0.0
Alluri Sitharama Raju - Forest,15.661930966926628,77.26080833860523,0.0,0.0
Alluri Sitharama Raju - Forest,15.64903855645262,77.29537633120871,0.0,0.0
Alluri Sitharama Raju - Forest,15.587046437709343,78.68654373986102,0.0,0.0
Alluri Sitharama Raju - Forest,15.564100836099271,78.28887508891084,0.0,0.0
Alluri Sitharama Raju - Forest,15.596746961134915,78.01886565996661,0.0,0.0
Alluri Sitharama Raju - Forest,15.497617239227232,78.1192068879738,0.0,0.0
Alluri Sitharama Raju - Forest,15.500011853518505,77.03680187089377,0.0,0.0
Alluri Sitharama Raju - Forest,15.47279209922521,77.06168262692475,0.0,0.0
Alluri Sitharama Raju - Forest,15.45661151346465,78.68599137344472,0.0,0.0
Alluri Sitharama Raju - Forest,15.457918532520932,77.11342669797799,0.0,0.0
Alluri Sitharama Raju - Forest,15.45711171476009,77.14132951332078,0.0,0.0
Alluri Sitharama Raju - Forest,15.450859023347862,78.23291098644843,0.0,0.0
Alluri Sitharama Raju - Forest,15.426183007960828,77.15412819289996,0.0,0.0
Alluri Sitharama Raju - Forest,15.411104686153944,77.96414135795419,0.0,0.0
Alluri Sitharama Raju - Forest,15.431230656693172,77.1785473582732,0.0,0.0
Alluri Sitharama Raju - Forest,15.428308971382268,78.16628198543658,0.0,0.0
Alluri Sitharama Raju - Forest,15.403669222680248,77.1395486157411,0.0,0.0
Alluri Sitharama Raju - Forest,15.251358246831789,78.68922102466396,0.0,0.0
Alluri Sitharama Raju - Forest,15.38311544849557,78.1062292638058,0.0,0.0
Alluri Sitharama Raju - Forest,15.397629370615157,78.1614848369844,0.0,0.0
Alluri Sitharama Raju - Forest,15.346780873364752,77.83477597410021,0.0,0.0
Alluri Sitharama Raju - Forest,15.384510868945563,78.14367974359412,0.0,0.0
Alluri Sitharama Raju - Forest,15.358197089289114,77.78386590593253,0.0,0.0
Alluri Sitharama Raju - Forest,15.352900421697036,78.09836998182703,0.0,0.0
Alluri Sitharama Raju - Forest,15.36693036567572,77.92928287460859,0.0,0.0
Alluri Sitharama Raju - Forest,15.32909394098863,77.9111954681113,0.0,0.0
Alluri Sitharama Raju - Forest,15.271312652418423,78.0439131459566,0.0,0.0
Alluri Sitharama Raju - Forest,15.300656394239557,78.15039572198377,0.0,0.0
Alluri Sitharama Raju - Forest,15.251899989988964,77.63993661544932,0.0,0.0
Alluri Sitharama Raju - Forest,15.215508517237454,77.99578608129768,0.0,0.0
